participant_id,condition,pretest,posttest,delayed_transfer,project_quality,epistemic_agency_1to5,cognitive_offloading_1to5,evidence_integrity_pct,teacher_intervention_minutes,synthetic_placeholder,random_seed
S001,PBL-only,72.12,80.38,70.93,69.48,3.22,2.72,52.11,16.38,True,20260813
S002,PBL-only,76.19,77.64,82.88,74.21,4.71,2.0,76.33,15.88,True,20260813
S003,PBL-only,62.97,67.33,72.16,70.88,4.12,2.88,74.46,14.95,True,20260813
S004,PBL-only,57.71,59.79,62.17,56.46,4.68,1.59,66.52,19.62,True,20260813
S005,PBL-only,69.01,74.9,65.55,65.85,3.15,3.34,66.67,9.41,True,20260813
S006,PBL-only,40.73,45.28,38.77,48.57,4.27,2.31,57.85,13.37,True,20260813
S007,PBL-only,71.17,75.95,68.98,65.94,4.04,2.18,57.19,15.34,True,20260813
S008,PBL-only,65.64,69.6,73.75,63.27,4.64,2.99,46.51,12.35,True,20260813
S009,PBL-only,68.5,70.88,70.25,63.01,3.89,2.66,61.8,19.6,True,20260813
S010,PBL-only,62.9,70.92,60.75,68.44,2.8,2.16,55.33,11.9,True,20260813
S011,PBL-only,59.45,61.09,58.12,61.39,3.22,2.7,57.73,14.43,True,20260813
S012,PBL-only,62.06,64.89,58.58,70.86,3.62,2.7,59.61,14.09,True,20260813
S013,PBL-only,61.85,58.18,64.48,62.76,3.65,1.86,59.33,13.81,True,20260813
S014,PBL-only,70.81,72.4,81.34,75.11,3.96,1.83,67.66,13.67,True,20260813
S015,PBL-only,72.5,71.81,68.59,68.27,3.76,2.48,56.05,15.45,True,20260813
S016,PBL-only,82.88,91.19,90.62,81.67,3.49,1.95,63.52,12.72,True,20260813
S017,PBL-only,58.8,62.07,61.18,74.62,3.58,2.32,60.68,14.67,True,20260813
S018,PBL-only,80.4,90.48,77.0,79.63,4.25,1.85,60.4,10.5,True,20260813
S019,PBL-only,67.34,76.45,73.34,81.66,4.08,1.95,62.88,15.43,True,20260813
S020,PBL-only,60.66,67.17,62.8,67.79,3.84,3.75,66.02,15.93,True,20260813
S021,PBL-only,65.58,62.3,60.88,65.22,3.37,3.47,48.68,14.07,True,20260813
S022,PBL-only,69.18,69.44,76.56,73.23,3.63,2.01,65.73,13.95,True,20260813
S023,PBL-only,57.56,54.14,56.86,68.94,3.41,2.86,53.52,15.69,True,20260813
S024,PBL-only,92.71,94.09,92.53,77.32,4.32,1.4,67.48,19.56,True,20260813
S025,PBL-only,78.79,81.27,75.55,65.36,3.05,1.63,68.01,16.22,True,20260813
S026,PBL-only,52.36,56.21,57.15,49.12,4.95,2.82,56.85,12.43,True,20260813
S027,PBL-only,70.44,81.38,67.76,76.14,3.45,2.1,60.85,11.87,True,20260813
S028,PBL-only,71.68,77.53,75.06,78.99,4.06,2.53,64.74,10.38,True,20260813
S029,PBL-only,62.72,71.15,64.75,65.44,3.5,2.68,59.26,15.48,True,20260813
S030,PBL-only,85.14,96.18,79.97,79.4,2.95,2.93,64.88,19.68,True,20260813
S031,PBL-only,55.93,58.58,47.42,66.77,3.89,2.72,73.32,16.71,True,20260813
S032,PBL-only,78.23,81.29,79.03,77.88,3.73,2.9,77.59,14.93,True,20260813
S033,PBL-only,67.53,74.18,69.56,68.85,3.95,2.42,64.86,12.17,True,20260813
S034,PBL-only,61.48,62.87,58.45,72.22,3.8,2.54,65.13,14.56,True,20260813
S035,PBL-only,76.36,79.98,72.04,87.0,3.97,2.55,74.78,16.63,True,20260813
S036,PBL-only,60.31,61.34,59.86,55.58,4.29,3.27,74.12,15.8,True,20260813
S037,PBL-only,71.64,74.18,68.41,63.09,2.62,2.89,58.2,14.22,True,20260813
S038,PBL-only,59.55,67.46,60.0,59.62,3.57,2.29,57.09,13.17,True,20260813
S039,PBL-only,75.1,78.09,80.13,78.24,4.05,2.37,83.88,13.54,True,20260813
